#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
1992;42.303;8.6801;RCP4.5;H1;1.96;45;
1993;42.2972;8.7765;RCP4.5;H1;0.14;15;
1994;42.2913;8.8729;RCP4.5;H1;0;4;
1995;42.2853;8.9693;RCP4.5;H1;0;4;
1996;42.2792;9.0656;RCP4.5;H1;0;5;
1997;42.273;9.162;RCP4.5;H1;0.53;23;
1998;42.2667;9.2583;RCP4.5;H1;1.8;26;
1999;42.2604;9.3546;RCP4.5;H1;1.01;24;
2000;42.2539;9.4509;RCP4.5;H1;1.57;37;
2001;42.2474;9.5471;RCP4.5;H1;0.47;79;
2061;42.5616;1.5106;RCP4.5;H1;0;0;
2062;42.5623;1.6078;RCP4.5;H1;0;0;
2063;42.5629;1.7049;RCP4.5;H1;0;0;
2064;42.5634;1.8021;RCP4.5;H1;0;0;
2065;42.5639;1.8993;RCP4.5;H1;0;0;
2066;42.5642;1.9965;RCP4.5;H1;0;0;
2067;42.5645;2.0936;RCP4.5;H1;0;0;
2068;42.5647;2.1908;RCP4.5;H1;0;2;
2069;42.5648;2.288;RCP4.5;H1;0.14;6;
2070;42.5648;2.3852;RCP4.5;H1;0.36;11;
2071;42.5647;2.4823;RCP4.5;H1;0.08;6;
2072;42.5645;2.5795;RCP4.5;H1;0.15;17;
2073;42.5642;2.6767;RCP4.5;H1;1.51;31;
2074;42.5639;2.7739;RCP4.5;H1;2.58;47;
2075;42.5634;2.8711;RCP4.5;H1;3.45;61;
2076;42.5629;2.9682;RCP4.5;H1;3.82;66;
2077;42.5623;3.0654;RCP4.5;H1;0.48;83;
2134;42.3804;8.5913;RCP4.5;H1;1.14;63;
2135;42.3746;8.6879;RCP4.5;H1;0.85;43;
2136;42.3688;8.7844;RCP4.5;H1;2.08;19;
2137;42.3629;8.8809;RCP4.5;H1;0;4;
2138;42.3568;8.9774;RCP4.5;H1;0;3;
2139;42.3507;9.0739;RCP4.5;H1;0;8;
2140;42.3446;9.1704;RCP4.5;H1;1.7;23;
2141;42.3383;9.2668;RCP4.5;H1;0.18;21;
2142;42.3319;9.3632;RCP4.5;H1;0.07;18;
2143;42.3254;9.4596;RCP4.5;H1;0.98;31;
2144;42.3189;9.556;RCP4.5;H1;0.65;79;
2203;42.6326;1.4123;RCP4.5;H1;0;0;
2204;42.6334;1.5096;RCP4.5;H1;0;0;
