#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h37 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020_DISTRIBUTION
# Modele     : Q50
# Scenario :
#     RCP8.5 : Emissions non réduites
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTX35 : Nombre de jours de fortes chaleur ( TX>35°C ) (jour(s))
#     NORTR : Nombre de nuits tropicales (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORTX35;NORTR;
#-----------------------------------------------------------------------------
2345;42.7036;1.3137;RCP8.5;H1;0;0;
2346;42.7044;1.4111;RCP8.5;H1;0;0;
2347;42.7052;1.5086;RCP8.5;H1;0;0;
2348;42.706;1.606;RCP8.5;H1;0;0;
2349;42.7066;1.7034;RCP8.5;H1;0;0;
2350;42.7071;1.8008;RCP8.5;H1;0.03;2;
2351;42.7076;1.8982;RCP8.5;H1;0;1;
2352;42.7079;1.9956;RCP8.5;H1;0;0;
2353;42.7082;2.093;RCP8.5;H1;0.07;2;
2354;42.7084;2.1905;RCP8.5;H1;0;1;
2355;42.7085;2.2879;RCP8.5;H1;0.03;2;
2356;42.7085;2.3853;RCP8.5;H1;0.12;7;
2357;42.7084;2.4827;RCP8.5;H1;0.96;13;
2358;42.7082;2.5801;RCP8.5;H1;3.25;24;
2359;42.7079;2.6775;RCP8.5;H1;4.88;40;
2360;42.7076;2.775;RCP8.5;H1;2.8;62;
2361;42.7071;2.8724;RCP8.5;H1;3.87;68;
2362;42.7066;2.9698;RCP8.5;H1;4.48;70;
2363;42.706;3.0672;RCP8.5;H1;5.04;72;
2421;42.5178;8.7036;RCP8.5;H1;1.4;64;
2422;42.512;8.8003;RCP8.5;H1;1.42;64;
2423;42.506;8.8971;RCP8.5;H1;0;27;
2424;42.5;8.9938;RCP8.5;H1;0;11;
2425;42.4939;9.0905;RCP8.5;H1;1.05;21;
2426;42.4877;9.1872;RCP8.5;H1;3.6;30;
2427;42.4814;9.2839;RCP8.5;H1;2.67;31;
2428;42.475;9.3805;RCP8.5;H1;1;37;
2429;42.4685;9.4772;RCP8.5;H1;0.64;63;
2430;42.4619;9.5738;RCP8.5;H1;0.64;85;
2473;42.7513;-0.1499;RCP8.5;H1;0;0;
2474;42.7535;-0.0524;RCP8.5;H1;0;0;
2475;42.7557;0.045;RCP8.5;H1;0;0;
2476;42.7577;0.1425;RCP8.5;H1;0;0;
2477;42.7597;0.24;RCP8.5;H1;0;0;
2478;42.7616;0.3374;RCP8.5;H1;0;0;
2479;42.7634;0.4349;RCP8.5;H1;0;1;
2480;42.765;0.5324;RCP8.5;H1;0;1;
2481;42.7667;0.6299;RCP8.5;H1;0.03;1;
2484;42.7709;0.9224;RCP8.5;H1;0;0;
2485;42.7722;1.0199;RCP8.5;H1;0;0;
2486;42.7733;1.1174;RCP8.5;H1;0;0;
2487;42.7744;1.2149;RCP8.5;H1;0.03;1;
2488;42.7754;1.3125;RCP8.5;H1;0.03;1;
2489;42.7763;1.41;RCP8.5;H1;0;0;
2490;42.7771;1.5075;RCP8.5;H1;0.13;2;
2491;42.7778;1.6051;RCP8.5;H1;0.39;3;
2492;42.7784;1.7026;RCP8.5;H1;0.71;3;
2493;42.779;1.8001;RCP8.5;H1;0.05;2;
2494;42.7794;1.8977;RCP8.5;H1;0;1;
2495;42.7798;1.9952;RCP8.5;H1;0;1;
2496;42.78;2.0927;RCP8.5;H1;0.14;4;
2497;42.7802;2.1903;RCP8.5;H1;0.3;5;
2498;42.7803;2.2878;RCP8.5;H1;0.55;6;
2499;42.7803;2.3854;RCP8.5;H1;0.53;12;
2500;42.7802;2.4829;RCP8.5;H1;3;23;
2501;42.78;2.5804;RCP8.5;H1;4.94;32;
2502;42.7798;2.678;RCP8.5;H1;5.35;44;
2503;42.7794;2.7755;RCP8.5;H1;2.54;57;
2504;42.779;2.873;RCP8.5;H1;4.12;69;
2505;42.7784;2.9706;RCP8.5;H1;4.73;71;
2506;42.7778;3.0681;RCP8.5;H1;6.52;59;
2564;42.5894;8.7114;RCP8.5;H1;1.8;77;
2565;42.5835;8.8083;RCP8.5;H1;1.44;73;
2566;42.5776;8.9052;RCP8.5;H1;1.33;52;
2567;42.5716;9.002;RCP8.5;H1;0.58;37;
2568;42.5654;9.0989;RCP8.5;H1;0.55;39;
2569;42.5592;9.1957;RCP8.5;H1;0.05;26;
2570;42.5529;9.2925;RCP8.5;H1;0.17;35;
2571;42.5465;9.3892;RCP8.5;H1;0.94;39;
2572;42.54;9.486;RCP8.5;H1;0.5;84;
2611;42.8106;-0.6407;RCP8.5;H1;0;0;
2612;42.8133;-0.5431;RCP8.5;H1;0;0;
2613;42.8159;-0.4456;RCP8.5;H1;0;0;
2614;42.8184;-0.3481;RCP8.5;H1;0;0;
2615;42.8208;-0.2505;RCP8.5;H1;0;0;
2616;42.8231;-0.1529;RCP8.5;H1;0;0;
2617;42.8254;-0.0554;RCP8.5;H1;0;0;
2618;42.8275;0.0422;RCP8.5;H1;0;1;
2619;42.8296;0.1398;RCP8.5;H1;0;0;
2620;42.8315;0.2374;RCP8.5;H1;0;0;
2621;42.8334;0.335;RCP8.5;H1;0.07;2;
2622;42.8352;0.4326;RCP8.5;H1;0;2;
2623;42.8369;0.5302;RCP8.5;H1;0;1;
2624;42.8385;0.6278;RCP8.5;H1;0.07;2;
2625;42.84;0.7254;RCP8.5;H1;0.35;2;
2626;42.8414;0.823;RCP8.5;H1;0;1;
2627;42.8428;0.9206;RCP8.5;H1;0;0;
2628;42.844;1.0183;RCP8.5;H1;0.03;1;
2629;42.8452;1.1159;RCP8.5;H1;0;1;
2630;42.8463;1.2136;RCP8.5;H1;1.97;3;
2631;42.8472;1.3112;RCP8.5;H1;0.52;1;
2632;42.8481;1.4088;RCP8.5;H1;0.01;1;
2633;42.8489;1.5065;RCP8.5;H1;0.1;2;
2634;42.8497;1.6041;RCP8.5;H1;1.92;5;
2635;42.8503;1.7018;RCP8.5;H1;0.05;1;
2636;42.8508;1.7995;RCP8.5;H1;0.03;1;
2637;42.8513;1.8971;RCP8.5;H1;0.46;3;
2638;42.8516;1.9948;RCP8.5;H1;0.39;5;
2639;42.8519;2.0924;RCP8.5;H1;0.48;6;
2640;42.8521;2.1901;RCP8.5;H1;2.44;11;
2641;42.8522;2.2877;RCP8.5;H1;1.18;9;
2642;42.8522;2.3854;RCP8.5;H1;1.17;14;
2643;42.8521;2.4831;RCP8.5;H1;2.4;19;
2644;42.8519;2.5807;RCP8.5;H1;3.25;24;
2645;42.8516;2.6784;RCP8.5;H1;6.08;32;
2646;42.8513;2.776;RCP8.5;H1;2.23;50;
2647;42.8508;2.8737;RCP8.5;H1;2.2;58;
2648;42.8503;2.9714;RCP8.5;H1;4.22;65;
2649;42.8497;3.069;RCP8.5;H1;5.81;70;
2709;42.6492;8.9133;RCP8.5;H1;1.48;74;
2710;42.6431;9.0103;RCP8.5;H1;1.39;72;
2711;42.637;9.1072;RCP8.5;H1;1.23;64;
2712;42.6308;9.2042;RCP8.5;H1;0.68;44;
2713;42.6245;9.3011;RCP8.5;H1;1.28;69;
2714;42.6181;9.398;RCP8.5;H1;1.95;56;
2715;42.6116;9.4948;RCP8.5;H1;0.45;86;
2753;42.8797;-0.742;RCP8.5;H1;0;1;
2754;42.8824;-0.6444;RCP8.5;H1;0;1;
2755;42.8851;-0.5467;RCP8.5;H1;0;3;
2756;42.8877;-0.4491;RCP8.5;H1;0;1;
2757;42.8902;-0.3514;RCP8.5;H1;0;0;
2758;42.8926;-0.2537;RCP8.5;H1;0;0;
2759;42.895;-0.156;RCP8.5;H1;0;1;
2760;42.8972;-0.0584;RCP8.5;H1;0;1;
2761;42.8993;0.0393;RCP8.5;H1;0;0;
2762;42.9014;0.137;RCP8.5;H1;0;0;
2763;42.9034;0.2348;RCP8.5;H1;0;0;
2764;42.9052;0.3325;RCP8.5;H1;0.1;2;
2765;42.907;0.4302;RCP8.5;H1;0;1;
2766;42.9087;0.5279;RCP8.5;H1;0.03;1;
2767;42.9103;0.6257;RCP8.5;H1;0.46;2;
2768;42.9118;0.7234;RCP8.5;H1;0.69;2;
2769;42.9133;0.8211;RCP8.5;H1;0.3;1;
2770;42.9146;0.9189;RCP8.5;H1;0.67;2;
2771;42.9159;1.0166;RCP8.5;H1;2.31;2;
2772;42.917;1.1144;RCP8.5;H1;1.1;2;
2773;42.9181;1.2122;RCP8.5;H1;2.53;2;
2774;42.9191;1.3099;RCP8.5;H1;1.48;2;
2775;42.92;1.4077;RCP8.5;H1;0.47;1;
2776;42.9208;1.5055;RCP8.5;H1;0.14;2;
2777;42.9215;1.6032;RCP8.5;H1;0.96;4;
2778;42.9221;1.701;RCP8.5;H1;1.45;5;
2779;42.9227;1.7988;RCP8.5;H1;1.06;8;
2780;42.9231;1.8966;RCP8.5;H1;1.6;11;
2781;42.9235;1.9943;RCP8.5;H1;1.73;10;
2782;42.9237;2.0921;RCP8.5;H1;2.52;13;
2783;42.9239;2.1899;RCP8.5;H1;4.44;22;
2784;42.924;2.2877;RCP8.5;H1;3.88;19;
2785;42.924;2.3855;RCP8.5;H1;2.27;12;
2786;42.9239;2.4833;RCP8.5;H1;1.54;14;
2787;42.9237;2.581;RCP8.5;H1;2.38;18;
2788;42.9235;2.6788;RCP8.5;H1;3.22;22;
2789;42.9231;2.7766;RCP8.5;H1;3.7;36;
2790;42.9227;2.8744;RCP8.5;H1;2.63;35;
2791;42.9221;2.9722;RCP8.5;H1;4.63;52;
2792;42.9215;3.0699;RCP8.5;H1;6.87;59;
2853;42.7147;9.0185;RCP8.5;H1;1.57;77;
2854;42.7086;9.1156;RCP8.5;H1;1.17;68;
2855;42.7023;9.2127;RCP8.5;H1;1.4;74;
2856;42.696;9.3097;RCP8.5;H1;1.83;79;
2857;42.6896;9.4067;RCP8.5;H1;2.17;56;
2893;42.9426;-1.039;RCP8.5;H1;0;5;
2894;42.9457;-0.9413;RCP8.5;H1;0;4;
2895;42.9486;-0.8436;RCP8.5;H1;0;4;
2896;42.9515;-0.7458;RCP8.5;H1;0;1;
2897;42.9543;-0.6481;RCP8.5;H1;0.1;4;
2898;42.9569;-0.5503;RCP8.5;H1;0;3;
2899;42.9595;-0.4525;RCP8.5;H1;0;3;
2900;42.962;-0.3547;RCP8.5;H1;0;1;
2901;42.9645;-0.2569;RCP8.5;H1;0;1;
2902;42.9668;-0.1591;RCP8.5;H1;0.05;2;
2903;42.969;-0.0613;RCP8.5;H1;0.72;4;
2904;42.9712;0.0365;RCP8.5;H1;0;0;
2905;42.9732;0.1343;RCP8.5;H1;0;1;
2906;42.9752;0.2321;RCP8.5;H1;0.07;2;
2907;42.9771;0.33;RCP8.5;H1;0.03;3;
2908;42.9789;0.4278;RCP8.5;H1;0.32;2;
2909;42.9806;0.5257;RCP8.5;H1;0.83;2;
2910;42.9822;0.6235;RCP8.5;H1;2.9;2;
2911;42.9837;0.7214;RCP8.5;H1;1.56;2;
2912;42.9851;0.8192;RCP8.5;H1;1.73;2;
2913;42.9865;0.9171;RCP8.5;H1;2.12;2;
2914;42.9877;1.015;RCP8.5;H1;1.54;3;
2915;42.9889;1.1129;RCP8.5;H1;2.71;4;
2916;42.99;1.2108;RCP8.5;H1;2.62;3;
2917;42.9909;1.3086;RCP8.5;H1;2.81;3;
2918;42.9918;1.4065;RCP8.5;H1;3;3;
2919;42.9927;1.5044;RCP8.5;H1;1.93;5;
2920;42.9934;1.6023;RCP8.5;H1;2.2;8;
2921;42.994;1.7002;RCP8.5;H1;1.94;7;
2922;42.9945;1.7981;RCP8.5;H1;2.2;13;
2923;42.995;1.896;RCP8.5;H1;2.6;15;
2924;42.9953;1.9939;RCP8.5;H1;2.99;17;
2925;42.9956;2.0918;RCP8.5;H1;2.95;14;
2926;42.9958;2.1897;RCP8.5;H1;4.32;21;
2927;42.9959;2.2876;RCP8.5;H1;3.79;18;
2928;42.9959;2.3855;RCP8.5;H1;2.1;11;
2929;42.9958;2.4834;RCP8.5;H1;2.21;18;
2930;42.9956;2.5813;RCP8.5;H1;3.12;24;
2931;42.9953;2.6792;RCP8.5;H1;4.25;26;
2932;42.995;2.7771;RCP8.5;H1;3.63;41;
2933;42.9945;2.875;RCP8.5;H1;3.57;42;
2934;42.994;2.9729;RCP8.5;H1;4.83;53;
2935;42.9934;3.0708;RCP8.5;H1;6.25;58;
2999;42.7676;9.3183;RCP8.5;H1;1.46;79;
3000;42.7612;9.4155;RCP8.5;H1;0.6;45;
3032;43.0013;-1.4345;RCP8.5;H1;0.15;5;
3033;43.0047;-1.3367;RCP8.5;H1;0.1;5;
3034;43.0081;-1.2389;RCP8.5;H1;0.05;5;
3035;43.0113;-1.1411;RCP8.5;H1;0.05;5;
3036;43.0144;-1.0433;RCP8.5;H1;0;4;
3037;43.0175;-0.9454;RCP8.5;H1;0.27;6;
3038;43.0204;-0.8475;RCP8.5;H1;0.37;6;
3039;43.0233;-0.7497;RCP8.5;H1;0.03;5;
3040;43.0261;-0.6518;RCP8.5;H1;1.03;4;
3041;43.0288;-0.5539;RCP8.5;H1;0.2;3;
3042;43.0313;-0.456;RCP8.5;H1;0.27;3;
3043;43.0339;-0.3581;RCP8.5;H1;0;2;
3044;43.0363;-0.2602;RCP8.5;H1;0.03;5;
3045;43.0386;-0.1623;RCP8.5;H1;0.15;2;
3046;43.0408;-0.0643;RCP8.5;H1;1.22;4;
3047;43.043;0.0336;RCP8.5;H1;0.52;4;
3048;43.0451;0.1316;RCP8.5;H1;0.7;4;
3049;43.047;0.2295;RCP8.5;H1;0.97;4;
3050;43.0489;0.3275;RCP8.5;H1;1.85;5;
3051;43.0507;0.4254;RCP8.5;H1;2.85;2;
3052;43.0524;0.5234;RCP8.5;H1;3.4;2;
3053;43.054;0.6214;RCP8.5;H1;3.88;3;
