#-----------------------------------------------------------------------------
# Date d'extraction : 23/06/2026 - 11h30 loc.
#-----------------------------------------------------------------------------
# Producteur : MF
# Experience : Explore2-HydroEau-Adamont-2024_distribution
# Modele     : Q50_SIM2
# Scenario :
#     RCP4.5 : Emissions modérées
#-----------------------------------------------------------------------------
# Horizons :
#     H1 : Horizon proche
#     H2 : Horizon moyen
#     H3 : Horizon lointain
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORSWIAV : Indicateur moyen d'humidité des sols
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Période;NORSWIAV;
#-----------------------------------------------------------------------------
2218;42.6353;2.8717;RCP4.5;H1;0.45;
2219;42.6347;2.969;RCP4.5;H1;0.39;
2220;42.6341;3.0663;RCP4.5;H1;0.39;
2278;42.4462;8.6957;RCP4.5;H1;0.43;
2279;42.4404;8.7924;RCP4.5;H1;0.56;
2280;42.4344;8.889;RCP4.5;H1;0.7;
2281;42.4284;8.9856;RCP4.5;H1;0.71;
2282;42.4223;9.0822;RCP4.5;H1;0.68;
2283;42.4161;9.1788;RCP4.5;H1;0.52;
2284;42.4098;9.2753;RCP4.5;H1;0.62;
2285;42.4034;9.3719;RCP4.5;H1;0.59;
2286;42.397;9.4684;RCP4.5;H1;0.57;
2331;42.6817;-0.0495;RCP4.5;H1;0.81;
2332;42.6839;0.0479;RCP4.5;H1;0.83;
2333;42.6859;0.1452;RCP4.5;H1;0.83;
2334;42.6879;0.2426;RCP4.5;H1;0.82;
2335;42.6897;0.3399;RCP4.5;H1;0.86;
2336;42.6915;0.4373;RCP4.5;H1;0.82;
2337;42.6932;0.5346;RCP4.5;H1;0.81;
2338;42.6948;0.632;RCP4.5;H1;0.81;
2343;42.7015;1.1189;RCP4.5;H1;0.84;
2344;42.7026;1.2163;RCP4.5;H1;0.86;
2345;42.7036;1.3137;RCP4.5;H1;0.86;
2346;42.7044;1.4111;RCP4.5;H1;0.78;
2347;42.7052;1.5086;RCP4.5;H1;0.79;
2348;42.706;1.606;RCP4.5;H1;0.81;
